1023624;1026208;1118684;1675354;1894056;1966413;2203561;7777078;7777264;7785259;7785275;7785321;7813091;7839995;7840578;7840811;7879971;7884427;Adresní místa;Adresy;Datum dokončení;Druh svislé nosné konstrukce;EPC regulation;Energy Performance Certificate (EPC);Energy consumption (kWh/m2/a);ID;Katastrální území;Kraj (VÚSC);Kód;Kód vchodu;Městská část/obvod;Non renewable value of energy;ORP;Obec;Obestavěný prostor [m3];Obvod Prahy;Okres;POU;Parcela;Parcela a katastrální území;Podlahová plocha [m2];Počet bytů;Počet podlaží;Počet vchodů;Připojení na kanalizační síť;Připojení na rozvod plynu;Připojení na vodovod;Region soudržnosti;Správní obvod Prahy;Stát;Typ;Vybavení výtahem;Zastavěná plocha [m2];Způsob vytápění;Způsob využití;lat_wgs84;lon_wgs84;x_jtsk;y_jtsk;Část obce;Čísla popisná nebo evidenční
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Cihly, tvárnice, cihlové bloky;264/2020 Sb.;C;137;22955241;Olomouc-město;Olomoucký kraj;;;;107;Olomouc;Olomouc;6459;;Olomouc;Olomouc;st. 855, k.ú. Olomouc-město;st. 855, k.ú. Olomouc-město st. 855, k.ú. Olomouc-město;2153;29;7;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Morava;;Česká republika;budova s číslem popisným;S výtahem;459;Centrální domovní (kotel ve stavbě);bytový dům;49.59069471026902;17.248844784098637;1121800.55;547349.98;Olomouc;676
CHLÚ;CHLÚ;;;;;;;;;;;;;;;;;Seznam adresních míst;;;Kámen a cihly;78/2013 Sb.;D;129.5;3183394;Slezská Ostrava;Moravskoslezský kraj;Typ;;Slezská Ostrava;162.1;Ostrava;Ostrava;;;Ostrava-město;Ostrava;1276, k.ú. Slezská Ostrava;1276, k.ú. Slezská Ostrava 1276, k.ú. Slezská Ostrava;;3;1;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Moravskoslezsko;;Česká republika;budova s číslem popisným;Bez výtahu;557;Centrální domovní (kotel ve stavbě);bytový dům;49.83939693914409;18.296502331013183;1101222.18;469568.48;Slezská Ostrava;279
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;11.12.2019;Kámen a cihly;78/2013 Sb.;B;96;5489032;Písek;Jihočeský kraj;;;;120;Písek;Písek;;;Písek;Písek;st. 190, k.ú. Písek;st. 190, k.ú. Písek st. 190, k.ú. Písek;;7;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihozápad;;Česká republika;budova s číslem popisným;Bez výtahu;344;Centrální domovní (kotel ve stavbě);bytový dům;49.306379773289905;14.147965729065412;1126324.73;774334.2;Vnitřní Město;144
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;G;213;24080837;Plzeň;Plzeňský kraj;;;Plzeň 2-Slovany;337;Plzeň;Plzeň;;;Plzeň-město;Plzeň;1023, k.ú. Plzeň;1023, k.ú. Plzeň 1023, k.ú. Plzeň;;13;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihozápad;;Česká republika;budova s číslem popisným;Bez výtahu;395;Jiné (i bez topení);bytový dům;49.74106930285056;13.38838991379297;1070521.2;821737.13;Východní Předměstí;553
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;G;317;18194443;Poděbrady;Středočeský kraj;;;;389;Poděbrady;Poděbrady;;;Nymburk;Poděbrady;st. 1507, k.ú. Poděbrady;st. 1507, k.ú. Poděbrady st. 1507, k.ú. Poděbrady;;7;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Čechy;;Česká republika;budova s číslem popisným;Bez výtahu;233;Lokální (kamna nebo jiné topidlo v bytě);objekt k bydlení;50.1474685905807;15.117371066387257;1042954.78;692581.72;Poděbrady II;424
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;14.10.2022;Cihly, tvárnice, cihlové bloky;78/2013 Sb.;B;74;117108235;Pohořelice nad Jihlavou;Jihomoravský kraj;;;;90;Pohořelice;Pohořelice;4476;;Brno-venkov;Pohořelice;157/1, k.ú. Pohořelice nad Jihlavou;157/1, k.ú. Pohořelice nad Jihlavou 157/1, k.ú. Pohořelice nad Jihlavou;1370;13;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihovýchod;;Česká republika;budova s číslem popisným;Bez výtahu;403;Centrální domovní- zemní plyn;bytový dům;48.98027854942627;16.517533006508902;1183788.42;607312.42;Pohořelice;1514
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;11.05.2023;Cihly, tvárnice, cihlové bloky;78/2013 Sb.;B;96;120486717;Smíchov;Hlavní město Praha;;;Praha 5;121;Hlavní město Praha;Praha;10700;Praha 5;;Hlavní město Praha;1285/1, k.ú. Smíchov;1285/1, k.ú. Smíchov 1285/1, k.ú. Smíchov;1780;22;6;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;S výtahem;837;Centrální domovní- zemní plyn;bytový dům;50.060714343346504;14.401834787846308;1045770.62;744592.61;Smíchov;3383
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;E;146;21772941;Michle;Hlavní město Praha;;;Praha 4;164.7;Hlavní město Praha;Praha;;Praha 4;;Hlavní město Praha;1515, k.ú. Michle;1515, k.ú. Michle 1515, k.ú. Michle;;5;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 4;Česká republika;budova s číslem popisným;Bez výtahu;145;Centrální domovní (kotel ve stavbě);bytový dům;50.05161703708251;14.459916811395182;1047339.44;740610.18;Michle;1081
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;D;110;21765952;Michle;Hlavní město Praha;;;Praha 4;129;Hlavní město Praha;Praha;;Praha 4;;Hlavní město Praha;1057, k.ú. Michle;1057, k.ú. Michle 1057, k.ú. Michle;;16;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 4;Česká republika;budova s číslem popisným;Bez výtahu;222;Jiné (i bez topení);bytový dům;50.057669014039185;14.452081289417107;1046596.35;741074.61;Michle;128
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;D;178.3;21678341;Vinohrady;Hlavní město Praha;;;Praha 2;188.5;Hlavní město Praha;Praha;;Praha 2;;Hlavní město Praha;958, k.ú. Vinohrady;958, k.ú. Vinohrady 958, k.ú. Vinohrady;;8;6;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 2;Česká republika;budova s číslem popisným;S výtahem;287;Centrální domovní (kotel ve stavbě);bytový dům;50.071409911286764;14.434174852220693;1044907.9;742136.77;Vinohrady;319
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;D;109;21911339;Smíchov;Hlavní město Praha;;;Praha 5;107;Hlavní město Praha;Praha;;Praha 5;;Hlavní město Praha;3030, k.ú. Smíchov;3030, k.ú. Smíchov 3030, k.ú. Smíchov;;5;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;Bez výtahu;284;Jiné (i bez topení);bytový dům;50.077630587302956;14.403987590306054;1043927.87;744183.0;Smíchov;9
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;D;177;21690910;Nusle;Hlavní město Praha;;;Praha 2;160;Hlavní město Praha;Praha;;Praha 2;;Hlavní město Praha;1252, k.ú. Nusle;1252, k.ú. Nusle 1252, k.ú. Nusle;;8;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 2;Česká republika;budova s číslem popisným;Bez výtahu;144;Centrální dálkové (kotel mimo stavbu);bytový dům;50.06494815073411;14.431862304956649;1045597.34;742398.64;Nusle;180
