1023624;1026208;1118684;1675354;1894056;1966413;2203561;7777078;7777264;7785259;7785275;7785321;7813091;7839995;7840578;7840811;7879971;7884427;Adresní místa;Adresy;Datum dokončení;Druh svislé nosné konstrukce;EPC regulation;Energy Performance Certificate (EPC);Energy consumption (kWh/m2/a);ID;Katastrální území;Kraj (VÚSC);Kód;Kód vchodu;Městská část/obvod;Non renewable value of energy;ORP;Obec;Obestavěný prostor [m3];Obvod Prahy;Okres;POU;Parcela;Parcela a katastrální území;Podlahová plocha [m2];Počet bytů;Počet podlaží;Počet vchodů;Připojení na kanalizační síť;Připojení na rozvod plynu;Připojení na vodovod;Region soudržnosti;Správní obvod Prahy;Stát;Typ;Vybavení výtahem;Zastavěná plocha [m2];Způsob vytápění;Způsob využití;lat_wgs84;lon_wgs84;x_jtsk;y_jtsk;Část obce;Čísla popisná nebo evidenční
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Novovysočanská 2509/3d;09.09.2019;Monolit;;B;;98571931;Libeň;Hlavní město Praha;;306412;Praha 9;;Hlavní město Praha;Praha;57000;Praha 9;;Hlavní město Praha;4036/18, k.ú. Libeň;4036/18, k.ú. Libeň 4036/18, k.ú. Libeň;11461;25;8;5;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;S výtahem;5206;Centrální domovní- zemní plyn;bytový dům;50.09926200138349;14.482406220081732;1042307.73;738296.44;Libeň;2509
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;09.12.2011;Jiné materiály a kombinace;;A;;50743465;Háje;Hlavní město Praha;;;Praha 11;;Hlavní město Praha;Praha;4776;Praha 4;;Hlavní město Praha;583/131, k.ú. Háje;583/131, k.ú. Háje 583/131, k.ú. Háje;1289;14;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 11;Česká republika;budova s číslem popisným;S výtahem;371;Centrální dálkové (kotel mimo stavbu);bytový dům;50.02462845553477;14.527595431276236;1050969.72;736213.15;Háje;973
;;;"Základní bodové pole - značka bodu; Značka bodu ZVBP";;;;;;;;;;;;;;;Seznam adresních míst;Českomoravská 2517/13b;13.11.2020;Monolit;;B;;103522981;Libeň;Hlavní město Praha;Typ;320845;Praha 9;;Hlavní město Praha;Praha;79843;Praha 9;;Hlavní město Praha;3340/3, k.ú. Libeň;3340/3, k.ú. Libeň 3340/3, k.ú. Libeň;22488;0;1;6;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;S výtahem;2353;Centrální dálkové  -  uhlí;bytový dům;50.10388292304902;14.488481024954044;1041857.4;737796.24;Libeň;2517
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Kabešova 943/2;12.11.2008;;;C;;27138542;Vysočany;Hlavní město Praha;;57531;Praha 9;;Hlavní město Praha;Praha;;Praha 9;;Hlavní město Praha;991/146, k.ú. Vysočany;991/146, k.ú. Vysočany 991/146, k.ú. Vysočany;;88;15;16;;Plyn z veřejné sítě;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;Bez výtahu;825;Centrální dálkové (kotel mimo stavbu);bytový dům;50.103844343704665;14.508691145657318;1042057.26;736364.39;Vysočany;943
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1903;Kámen, cihly, tvárnice vč. kombinací;;E;;21685819;Vinohrady;Hlavní město Praha;;;Praha 2;;Hlavní město Praha;Praha;;Praha 2;;Hlavní město Praha;1449, k.ú. Vinohrady;1449, k.ú. Vinohrady 1449, k.ú. Vinohrady;;14;7;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 2;Česká republika;budova s číslem popisným;S výtahem;420;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.07124500269354;14.44298905509619;1045011.94;741514.19;Vinohrady;1272
;;;;;;;;;;Chráněná krajinná oblast;;;"Zóna CHKO; IV. zóna";;;;;Seznam adresních míst;;31.12.1970;Kámen, cihly, tvárnice vč. kombinací;;E;;13955501;Vrbno pod Pradědem;Moravskoslezský kraj;Typ;;;;Bruntál;Vrbno pod Pradědem;;;Bruntál;Vrbno pod Pradědem;1229, k.ú. Vrbno pod Pradědem;1229, k.ú. Vrbno pod Pradědem 1229, k.ú. Vrbno pod Pradědem;;11;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Moravskoslezsko;;Česká republika;budova s číslem popisným;Bez výtahu;203;Centrální dálkové (kotel mimo stavbu);bytový dům;50.118935636797175;17.382826034758104;1064276.84;531994.3;Vrbno pod Pradědem;424
;;;;;;;;;Chráněná krajinná oblast;;;;;"Zóna CHKO; IV. zóna";;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;;F;;17774098;Střekov;Ústecký kraj;Typ;;Ústí nad Labem-Střekov;;Ústí nad Labem;Ústí nad Labem;;;Ústí nad Labem;Ústí nad Labem;3918/1, k.ú. Střekov;3918/1, k.ú. Střekov 3918/1, k.ú. Střekov;;7;4;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;Bez výtahu;233;Lokální (kamna nebo jiné topidlo v bytě);objekt k bydlení;50.63730696360657;14.050382680669;978785.48;760454.82;Střekov;1043
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1960;Kámen, cihly, tvárnice vč. kombinací;;F;;16754581;Štětí I;Ústecký kraj;;;;;Litoměřice;Štětí;8000;;Litoměřice;Štětí;427/1, k.ú. Štětí I;427/1, k.ú. Štětí I 427/1, k.ú. Štětí I;1580;28;3;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;Bez výtahu;655;Centrální dálkové (kotel mimo stavbu);bytový dům;50.452160666078846;14.379358679862406;1002421.76;740227.47;Štětí;495
;;;;;;;;;;;;;;;;;;Seznam adresních míst;G. Preissové 3472/6;31.12.1980;Kámen, cihly, tvárnice vč. kombinací;;D;;22841628;Hodonín;Jihomoravský kraj;;42769;;;Hodonín;Hodonín;;;Hodonín;Hodonín;st. 5803/2, k.ú. Hodonín;st. 5803/2, k.ú. Hodonín st. 5803/2, k.ú. Hodonín;;6;3;2;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihovýchod;;Česká republika;budova s číslem popisným;S výtahem;362;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;48.857558696163004;17.131172345718525;1202064.88;564018.15;Hodonín;3472, 3473
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;Nezjištěno;Cihly, tvárnice, cihlové bloky;;D;;24621811;Hodonín;Jihomoravský kraj;;;;;Hodonín;Hodonín;2195;;Hodonín;Hodonín;st. 803, k.ú. Hodonín;st. 803, k.ú. Hodonín st. 803, k.ú. Hodonín;507;7;2;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihovýchod;;Česká republika;budova s číslem popisným;Bez výtahu;351;Centrální domovní (kotel ve stavbě);bytový dům;48.854505274191084;17.12654452027488;1202368.51;564390.17;Hodonín;1109
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;E;;21922144;Smíchov;Hlavní město Praha;;;Praha 5;;Hlavní město Praha;Praha;;Praha 5;;Hlavní město Praha;571, k.ú. Smíchov;571, k.ú. Smíchov 571, k.ú. Smíchov;;27;6;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;S výtahem;458;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.06515322852531;14.409948383595367;1045360.86;743949.75;Smíchov;1235
;;;;;;;;;;;;;;;;;;Seznam adresních míst;U Mlýnského kanálu 696/10;27.02.2019;Stěnové panely - beton a železobeton;;B;;96823399;Karlín;Hlavní město Praha;;302253;Praha 8;;Hlavní město Praha;Praha;62925;Praha 8;;Hlavní město Praha;889/254, k.ú. Karlín;889/254, k.ú. Karlín 889/254, k.ú. Karlín;17826;16;11;7;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 8;Česká republika;budova s číslem popisným;S výtahem;2752;Centrální dálkové - jiné;bytový dům;50.09575151098684;14.451907415551393;1042398.42;740511.25;Karlín;696
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Naskové 1335/1o;25.09.2019;Monolit;;A;;99446944;Košíře;Hlavní město Praha;;308061;Praha 5;;Hlavní město Praha;Praha;95120;Praha 5;;Hlavní město Praha;1838/9, k.ú. Košíře;1838/9, k.ú. Košíře 1838/9, k.ú. Košíře;18800;32;7;7;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;S výtahem;3392;Centrální domovní (kotel ve stavbě);bytový dům;50.06170827136387;14.361342218631378;1045264.36;747449.39;Košíře;1335
;;;;;;;;;;;Chráněná krajinná oblast;;;;"Zóna CHKO; III. zóna";;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;E;;20494645;Karlovy Vary;Karlovarský kraj;Typ;;;;Karlovy Vary;Karlovy Vary;;;Karlovy Vary;Karlovy Vary;1453, k.ú. Karlovy Vary;1453, k.ú. Karlovy Vary 1453, k.ú. Karlovy Vary;;11;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;Bez výtahu;184;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.22671543543607;12.88241262938814;1011582.12;849309.81;Karlovy Vary;113
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Sokolovská 1573;31.12.1960;Kámen, cihly, tvárnice vč. kombinací;;F;;20560371;Sokolov;Karlovarský kraj;;23818;;;Sokolov;Sokolov;;;Sokolov;Sokolov;1719, k.ú. Sokolov;1719, k.ú. Sokolov 1719, k.ú. Sokolov;;15;6;3;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;Bez výtahu;609;Centrální dálkové (kotel mimo stavbu);bytový dům;50.17697542491023;12.664703025586787;1014586.37;865531.28;Sokolov;1572, 1573, 1574
;;;;;;;;;;;Chráněná krajinná oblast;;;;"Zóna CHKO; III. zóna";;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;;E;;20688083;Mariánské Lázně;Karlovarský kraj;Typ;;;;Mariánské Lázně;Mariánské Lázně;;;Cheb;Mariánské Lázně;st. 477/3, k.ú. Mariánské Lázně;st. 477/3, k.ú. Mariánské Lázně st. 477/3, k.ú. Mariánské Lázně;;24;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;Bez výtahu;467;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;49.957034990703086;12.6967741723933;1039101.9;867163.92;Mariánské Lázně;462
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.2002;Kámen, cihly, tvárnice vč. kombinací;;F;;18295959;Strakonice;Jihočeský kraj;;;;;Strakonice;Strakonice;;;Strakonice;Strakonice;st. 542, k.ú. Strakonice;st. 542, k.ú. Strakonice st. 542, k.ú. Strakonice;;16;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihozápad;;Česká republika;budova s číslem popisným;Bez výtahu;493;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;49.264685433456755;13.904182409921521;1128405.0;792547.28;Strakonice I;425
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Trnovanská 1324/55;23.09.1970;;;A;;20005849;Teplice-Trnovany;Ústecký kraj;;21436;;;Teplice;Teplice;;;Teplice;Teplice;2250/10, k.ú. Teplice-Trnovany;2250/10, k.ú. Teplice-Trnovany 2250/10, k.ú. Teplice-Trnovany;;23;8;11;;Plyn z veřejné sítě;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;S výtahem;243;Centrální dálkové (kotel mimo stavbu);bytový dům;50.64383920732293;13.85531132899321;976099.94;774008.72;Trnovany;1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1329, 1330
